"parameter","truth","pg_standard","pg_frailty","stan_std","stan_fra_pc","stan_fra_ht","stan_lc"
"age_std",0.25,0.251,0.326,0.193,0.215,0.221,0.208
"male",0.1,-0.245,-0.121,0.101,0.139,0.138,0.142
"emergency",0.3,-0.147,-0.076,0.233,0.301,0.305,0.279
"icd_sepsis",0.6,0.121,0.087,0.288,0.319,0.318,0.323
"icd_resp",0.35,0.436,0.407,0.435,0.467,0.475,0.468
"icd_hf",0.4,0.209,0.382,0.33,0.391,0.407,0.373
"icd_aki",0.25,-0.041,-0.159,0.068,0.085,0.083,0.076
"gcs_impaired",0.5,0.113,0.118,0.158,0.181,0.188,0.185
"vasopressor",0.45,0.385,0.635,0.54,0.634,0.65,0.612
